iter	Logloss
0	0.6703535853
1	0.6496974405
2	0.6320529733
3	0.6142455035
4	0.5999856518
5	0.5856284559
6	0.5700138292
7	0.5570837365
8	0.5446696658
9	0.5336333643
10	0.5212596507
11	0.5105754459
12	0.5001101476
13	0.4919587671
14	0.4852082684
15	0.4770290196
16	0.4706815676
17	0.463501166
18	0.4565469922
19	0.4521722421
20	0.4464492893
21	0.4409887256
22	0.4347979916
23	0.4300338033
24	0.4253229435
25	0.4205068266
26	0.4163905744
27	0.4121791132
28	0.4088923904
29	0.4051566777
30	0.4011091945
31	0.397141405
32	0.3949945107
33	0.3918951701
34	0.3892717695
35	0.386911617
36	0.3847625896
37	0.3826708518
38	0.3798755791
39	0.3781176576
40	0.3755150453
41	0.3731340752
42	0.3718234069
43	0.3707193628
44	0.3690011539
45	0.3671205613
46	0.3655405803
47	0.3640308922
48	0.3623150548
49	0.3611863164
50	0.3595111665
51	0.358614496
52	0.3570108588
53	0.3555539117
54	0.3546304995
55	0.353538885
56	0.3526960206
57	0.3517538937
58	0.350421698
59	0.3492331596
60	0.3480934171
61	0.347044467
62	0.3462132064
63	0.3453885982
64	0.3446180717
65	0.3436196569
66	0.3429170634
67	0.3421945263
68	0.3412117401
69	0.3402269278
70	0.3395274116
71	0.3388769502
72	0.3383435632
73	0.3376115995
74	0.3371848346
75	0.3365169764
76	0.3358970134
77	0.3349330779
78	0.3344986325
79	0.3337843653
80	0.333190404
81	0.3324912332
82	0.3317950853
83	0.3311978467
84	0.3306107799
85	0.3300401066
86	0.3293699498
87	0.3289745061
88	0.3284365133
89	0.3279531915
90	0.3274298659
91	0.327081943
92	0.3265703681
93	0.3262731608
94	0.3259218125
95	0.3256497763
96	0.3252634187
97	0.3248075546
98	0.3243746114
99	0.3239257817
100	0.3234199637
101	0.3230715464
102	0.3228106744
103	0.3223260664
104	0.3219867202
105	0.3215599863
106	0.3210488354
107	0.3207528127
108	0.3203857492
109	0.3201382911
110	0.3195552581
111	0.3192928813
112	0.3188691765
113	0.3184364121
114	0.3180776436
115	0.3177763837
116	0.3174670998
117	0.3171681236
118	0.3168478177
119	0.3164987817
120	0.3162262258
121	0.3158676599
122	0.3154767421
123	0.3151906339
124	0.3149019344
125	0.3145693821
126	0.3143655107
127	0.3142111033
128	0.3136631848
129	0.3134409617
130	0.3132628985
131	0.3129734791
132	0.3127678702
133	0.3124909486
134	0.3122526488
135	0.3120270721
136	0.3117365978
137	0.3114732522
138	0.3112513706
139	0.3109999393
140	0.3106864881
141	0.3103999323
142	0.3101383545
143	0.309904626
144	0.3096411493
145	0.3093706631
146	0.3091212432
147	0.3089391241
148	0.3086815227
149	0.3082344431
150	0.3078389353
151	0.3075958202
152	0.3074477542
153	0.3071912717
154	0.3070251471
155	0.3068063097
156	0.3066166684
157	0.3064161511
158	0.3061894538
159	0.3059777781
160	0.3057856769
161	0.3055749372
162	0.3054132219
163	0.3050722834
164	0.3048544739
165	0.3046672527
166	0.3044214628
167	0.3041744588
168	0.3038474312
169	0.3036164382
170	0.3034630881
171	0.3033039766
172	0.3031387914
173	0.3028459607
174	0.3027295852
175	0.3025594136
176	0.3024454087
177	0.302281362
178	0.3021021574
179	0.3019082544
180	0.3017082259
181	0.3015553087
182	0.301368495
183	0.3012608759
184	0.3010877699
185	0.3009327714
186	0.3007869138
187	0.3006387723
188	0.3004290276
189	0.3002843373
190	0.3001118477
191	0.2999492449
192	0.2996345463
193	0.2994747431
194	0.2992930575
195	0.2990216561
196	0.2988591442
197	0.2986274321
198	0.2984996253
199	0.2983408184
200	0.2982455204
201	0.2980617521
202	0.297944316
203	0.2977701579
204	0.2976339325
205	0.2974644151
206	0.2973680367
207	0.2971395744
208	0.2970116673
209	0.2968916037
210	0.2967916786
211	0.2966669796
212	0.296516227
213	0.2963825776
214	0.2961701743
215	0.2959086982
216	0.2957972041
217	0.2956374896
218	0.2954866686
219	0.295281615
220	0.295187059
221	0.2948925424
222	0.2947171298
223	0.294579435
224	0.2944613988
225	0.2941327335
226	0.2940244266
227	0.2938876186
228	0.2937574886
229	0.2935488695
230	0.2933842022
231	0.293217378
232	0.2931105362
233	0.2930039575
234	0.2928351768
235	0.2926818118
236	0.2925435741
237	0.2924190055
238	0.2923287374
239	0.2921728925
240	0.2919971032
241	0.2918679149
242	0.2916959458
243	0.2915540017
244	0.291410002
245	0.291202071
246	0.2910810578
247	0.2909875075
248	0.2909045503
249	0.2907179621
250	0.2905944911
251	0.2904956779
252	0.2903721249
253	0.2902448825
254	0.2901463203
255	0.2900106573
256	0.2898208626
257	0.2897555809
258	0.2896286092
259	0.2894443608
260	0.2893207265
261	0.2891595989
262	0.2890881711
263	0.2889570586
264	0.2888529641
265	0.2887876508
266	0.2886663323
267	0.2884536384
268	0.2882995601
269	0.2881880031
270	0.2879606473
271	0.2878895765
272	0.287737396
273	0.287635265
274	0.2874850331
275	0.2873603357
276	0.2871823228
277	0.2870725594
278	0.2870370702
279	0.286945501
280	0.2868206039
281	0.286697247
282	0.2865859526
283	0.2864804466
284	0.2863733211
285	0.2862701997
286	0.2861571462
287	0.2860626835
288	0.2859743903
289	0.2858874832
290	0.2857565025
291	0.285587512
292	0.2855075444
293	0.2853199021
294	0.2852972977
295	0.2851907079
296	0.2851040735
297	0.285007991
298	0.2848145484
299	0.2847163264
300	0.2845402778
301	0.2844760763
302	0.2843146082
303	0.2841759021
304	0.2839705128
305	0.2838648635
306	0.283733392
307	0.2836411795
308	0.2835363996
309	0.2833897939
310	0.2832726055
311	0.2831636587
312	0.2830190245
313	0.2829238282
314	0.2827531195
315	0.2826326488
316	0.2824990583
317	0.2821858224
318	0.2820707735
319	0.2819632787
320	0.2818298485
321	0.2816891314
322	0.2816156527
323	0.2815133346
324	0.2813918674
325	0.2812486491
326	0.2811318265
